tau_cent,delta_x,delta_y
-39.9119991199912,0.3327927122104808,-0.024883376084882253
-39.911199111991124,0.33279492446690373,-0.024883690899207417
-39.91039910399104,0.33279713666381316,-0.02488400571706914
-39.90959909599096,0.3327993488011953,-0.024884320538466703
-39.90879908799088,0.33280156087904156,-0.024884635363399993
-39.9079990799908,0.3328037728973481,-0.024884950191868954
-39.90719907199072,0.33280598485610025,-0.02488526502387306
-39.90639906399064,0.3328081967552956,-0.02488557985941245
-39.90559905599056,0.3328104085949235,-0.024885894698486705
-39.90479904799048,0.3328126203749766,-0.02488620954109569
-39.9039990399904,0.3328148320954416,-0.024886524387238845
-39.90319903199032,0.33281704375632404,-0.024886839236916952
-39.90239902399024,0.3328192553575935,-0.024887154090128177
-39.90159901599016,0.33282146689926395,-0.02488746894687391
-39.90079900799008,0.3328236783813123,-0.024887783807152897
-39.89999899999,0.33282588980373995,-0.02488809867096556
-39.89919899198992,0.33282810116652994,-0.024888413538311116
-39.89839898398984,0.3328303124696823,-0.024888728409189903
-39.89759897598976,0.33283252371317684,-0.024889043283600892
-39.89679896798968,0.33283473489702087,-0.024889358161544944
-39.8959989599896,0.3328369460211913,-0.024889673043020727
-39.89519895198952,0.33283915708568745,-0.024889987928028684
-39.894398943989444,0.33284136809050846,-0.024890302816569065
-39.89359893598936,0.33284357903563144,-0.024890617708640622
-39.892798927989276,0.33284578992104996,-0.024890932604243216
-39.8919989199892,0.3328480007467689,-0.024891247503377706
-39.89119891198912,0.33285021151276584,-0.024891562406042705
-39.89039890398904,0.33285242221903966,-0.024891877312238603
-39.88959889598896,0.3328546328655788,-0.024892192221964954
-39.888798887988884,0.33285684345237776,-0.024892507135221675
-39.8879988799888,0.3328198028182596,-0.024889886242460357
-39.887198871988716,0.33286126444671926,-0.02489313697232534
-39.88639886398864,0.3328634748542463,-0.02489345189617187
-39.88559885598856,0.3328656852019962,-0.024893766823547603
-39.88479884798848,0.33286789548996154,-0.024894081754452485
-39.8839988399884,0.3328701057181396,-0.02489439668888671
-39.883198831988324,0.33287231588651345,-0.02489471162684931
-39.88239882398824,0.3328745259950838,-0.024895026568340806
-39.88159881598816,0.33287673604383317,-0.024895341513360286
-39.88079880798808,0.33287894603276147,-0.024895656461908167
-39.879998799988,0.3328811559618561,-0.024895971413983864
-39.879198791987925,0.33288336583110545,-0.024896286369586934
-39.87839878398784,0.33288557564051247,-0.024896601328717988
-39.87759877598776,0.3328877853900538,-0.024896916291375776
-39.87679876798768,0.33288999507973527,-0.024897231257560964
-39.8759987599876,0.3328922047095446,-0.02489754622727311
-39.87519875198752,0.3328944142794603,-0.024897861200511073
-39.87439874398744,0.33289662378949525,-0.024898176177276132
-39.87359873598736,0.33289883323962743,-0.02489849115756712
-39.87279872798728,0.33290104262985065,-0.0248988061413839
-39.8719987199872,0.33290325196015713,-0.02489912112872633
-39.87119871198712,0.33290546123054043,-0.02489943611959436
-39.87039870398704,0.33290767044099345,-0.024899751113987817
-39.86959869598696,0.33290987959150375,-0.024900066111906122
-39.86879868798688,0.3329120886820638,-0.0249003811133493
-39.8679986799868,0.33291429771266734,-0.02490069611831705
-39.86719867198672,0.3329165066833013,-0.024901011126808925
-39.866398663986644,0.33291871559396813,-0.024901326138825508
-39.86559865598656,0.33292092444464805,-0.024901641154365745
-39.864798647986476,0.33292313323533484,-0.024901956173429496
-39.8639986399864,0.3329253419660281,-0.024902271196017206
-39.86319863198632,0.3329275506367084,-0.024902586222127793
-39.86239862398624,0.3329297592473728,-0.024902901251761367
-39.86159861598616,0.3329319677980156,-0.024903216284918067
-39.860798607986084,0.3329341762886264,-0.024903531321597394
-39.859998599986,0.3329363847191953,-0.02490384636179896
-39.859198591985916,0.3329385930897133,-0.024904161405522734
-39.85839858398584,0.3329408014001758,-0.024904476452768526
-39.85759857598576,0.33294300965057033,-0.024904791503535917
-39.85679856798568,0.3329452178408905,-0.02490510655782477
-39.8559985599856,0.3329474259711289,-0.024905421615635026
-39.855198551985524,0.33294963404127587,-0.024905736676966272
-39.85439854398544,0.332951842051326,-0.02490605174181862
-39.85359853598536,0.3329540500012682,-0.024906366810191538
-39.85279852798528,0.3329562578910923,-0.02490668188208464
-39.8519985199852,0.3329584657207949,-0.024906996957498206
-39.851198511985125,0.33296067349036385,-0.02490731203643165
-39.85039850398504,0.3329628811997909,-0.02490762711888478
-39.84959849598496,0.33296508884906983,-0.02490794220485748
-39.84879848798488,0.3329672964381909,-0.02490825729434948
-39.8479984799848,0.3329695039671423,-0.024908572387360245
-39.84719847198472,0.3329717114359254,-0.02490888748389042
-39.84639846398464,0.33297391884452265,-0.02490920258393889
-39.84559845598456,0.3329367850277638,-0.024906574206648185
-39.84479844798448,0.3329783334811365,-0.024909832794590997
-39.8439984399844,0.33298054070913774,-0.024910147905194246
-39.84319843198432,0.33298274787692406,-0.024910463019315376
-39.84239842398424,0.3329849549844799,-0.024910778136953554
-39.84159841598416,0.3329871620318108,-0.024911093258109612
-39.84079840798408,0.3329893690188972,-0.024911408382782496
-39.839998399984,0.3329915759457318,-0.024911723510972095
-39.83919839198392,0.33299378281230996,-0.024912038642678463
-39.838398383983844,0.3329959896186252,-0.024912353777901464
-39.83759837598376,0.33299819636466466,-0.024912668916640568
-39.836798367983675,0.3330004030504201,-0.024912984058895582
-39.835998359983606,0.3330026096758847,-0.02491329920466634
-39.83519835198352,0.3330048162410524,-0.024913614353952868
-39.83439834398344,0.3330070227459063,-0.02491392950675428
-39.83359833598336,0.33296986225843184,-0.024911298985663216
-39.832798327983284,0.3330114355746683,-0.02491455982290297
-39.8319983199832,0.3330136418985499,-0.024914874986249086
-39.831198311983115,0.3330158481620915,-0.02491519015310978
-39.83039830398304,0.33301805436528675,-0.024915505323484827
-39.82959829598296,0.3330202605081207,-0.02491582049737373
-39.82879828798288,0.333022466590593,-0.024916135674776713
-39.8279982799828,0.3330246726126824,-0.02491645085569255
