tau,mag
-39.98943997887996,1.0605758133229812
-39.989279978559956,1.0605765188467333
-39.989119978239955,1.0605772242040539
-39.98895997791996,1.0605779300086589
-39.98879997759995,1.060578635449195
-39.98863997727995,1.0605793410041529
-39.98847997695995,1.0605800467047384
-39.98831997663996,1.0605807523637159
-39.98815997631995,1.0605814579706836
-39.98799997599995,1.060582163629661
-39.987839975679954,1.0605828699543645
-39.98767997535995,1.0605835751140475
-39.98751997503995,1.0605842806794075
-39.98735997471995,1.0605849862031596
-39.98719997439995,1.0605856919037449
-39.98703997407995,1.060586397687546
-39.98687997375995,1.0605871036793864
-39.986719973439946,1.0605878092447463
-39.986559973119945,1.0605885147060865
-39.986399972799944,1.0605892204794856
-39.98623997247995,1.0605899264401202
-39.98607997215994,1.0605906319430682
-39.98591997183994,1.0605913377476732
-39.98575997151995,1.0605920434378566
-39.985599971199946,1.0605927493048735
-39.98543997087994,1.060593455005459
-39.98527997055994,1.0605941606332305
-39.98511997023994,1.060594866635473
-39.98495996991994,1.0605955725232938
-39.98479996959994,1.060596278265487
-39.98463996927994,1.06059698405969
-39.98447996895994,1.0605976898538931
-39.98431996863994,1.0605983957833218
-39.984159968319936,1.0605991017127505
-39.983999967999935,1.0605998075797674
-39.983839967679934,1.0606005133115586
-39.98367996735993,1.0606012194698304
-39.98351996703994,1.0606019251912198
-39.98335996671993,1.0606026310062269
-39.98319996639993,1.0606033366756065
-39.983039966079936,1.0606040431147314
-39.982879965759935,1.0606047490753658
-39.98271996543993,1.0606054547655492
-39.982559965119925,1.0606061610486448
-39.98239996479993,1.060606866780436
-39.98223996447993,1.0606075727826785
-39.98207996415993,1.0606082788473328
-39.98191996383993,1.060608984870379
-39.98175996351993,1.0606096909142293
-39.981599963199926,1.0606103968852658
-39.981439962879925,1.0606111029083123
-39.981279962559924,1.0606118089833685
-39.98111996223992,1.060612514902395
-39.98095996191992,1.060613221050265
-39.98079996159993,1.0606139271461252
-39.98063996127992,1.0606146331899755
-39.98047996095992,1.0606153392234237
-39.980319960639925,1.0606160453816957
-39.980159960319924,1.0606167515919773
-39.979999959999915,1.0606174576462295
-39.97983995967992,1.0606181638149035
-39.97967995935992,1.0606188698795578
-39.97951995903992,1.0606195759442119
-39.97935995871992,1.0606202821128858
-39.97919995839992,1.060620988427187
-39.979039958079916,1.0606216945230473
-39.978879957759915,1.0606223986841417
-39.978719957439914,1.0606231069332088
-39.97855995711991,1.0606238131538925
-39.97839995679991,1.0606245193849781
-39.97823995647992,1.060625225574456
-39.97807995615992,1.0606259318159437
-39.97791995583991,1.0606266379222056
-39.97775995551991,1.0606273443613305
-39.97759995519991,1.0606280505820143
-39.97743995487991,1.060628756833904
-39.977279954559904,1.060629463252225
-39.97711995423991,1.0606301695977323
-39.97695995391991,1.0606308757664062
-39.97679995359991,1.0606315821327175
-39.97663995327991,1.0606322884990287
-39.976479952959906,1.0606329949069477
-39.976319952639905,1.060633701221249
-39.976159952319904,1.0606344074419327
-39.9759999519999,1.0606351139850774
-39.9758399516799,1.0606358202785748
-39.9756799513599,1.0606365266552882
-39.97551995103991,1.060637233437678
-39.975359950719906,1.0606379394711263
-39.9751999503999,1.0606386458166335
-39.975039950079896,1.060639352442994
-39.9748799497599,1.06064005857006
-39.9747199494399,1.0606407651756165
-39.97455994911989,1.0606414712818784
-39.9743999487999,1.060642178189092
-39.9742399484799,1.0606428846386189
-39.9740799481599,1.0606435912441754
-39.973919947839896,1.0606442976416925
-39.973759947519895,1.06064500393519
-39.973599947199894,1.06064571066557
-39.97343994687989,1.060646417104695
-39.97327994655989,1.060647123803869
-39.97311994623989,1.0606478303782196
-39.97295994591989,1.0606485366197071
-39.972799945599895,1.0606492431004402
-39.972639945279894,1.0606499495915749
-39.972479944959886,1.0606506563739648
-39.97231994463989,1.0606513631667567
-39.97215994431989,1.0606520696266855
-39.97199994399989,1.0606527761386244
-39.97183994367988,1.0606534827649847
-39.97167994335989,1.0606541895785804
-39.97151994303989,1.0606548962881566
-39.971359942719886,1.0606556028000953
-39.971199942399885,1.0606563094056518
-39.971039942079884,1.0606570161360318
-39.97087994175988,1.0606577228664118
-39.97071994143988,1.060658429555184
-39.97055994111988,1.060659136306368
-39.97039994079988,1.060659843026346
-39.97023994047988,1.0606605497047163
-39.970079940159884,1.0606612564559001
-39.96991993983988,1.0606619631966823
-39.969759939519875,1.0606626698022388
-39.96959993919988,1.0606633765222166
-39.96943993887988,1.0606640833358125
-39.96927993855988,1.06066479021182
-39.96911993823987,1.0606654971294356
-39.96895993791988,1.0606662036205703
-39.968799937599876,1.0606669106526074
-39.968639937279875,1.060667617549419
-39.968479936959874,1.0606683243110049
-39.96831993663987,1.060669031270228
-39.96815993631987,1.060669738083824
-39.96799993599987,1.060670444772596
-39.96783993567987,1.0606711521062901
-39.96767993535987,1.0606718587222486
-39.96751993503987,1.0606725653902167
-39.96735993471987,1.0606732724950676
-39.96719993439987,1.0606739792566535
-39.967039934079864,1.06067468644472
-39.96687993375987,1.0606753930814825
-39.96671993343987,1.0606761001135194
-39.96655993311987,1.0606768071143506
-39.96639993279987,1.0606775138759366
-39.966239932479866,1.0606782209495815
-39.966079932159865,1.0606789281896578
-39.96591993183986,1.0606796350552634
-39.96575993151986,1.0606803420248887
-39.96559993119986,1.0606810490673277
-39.96543993087986,1.0606817559433352
-39.96527993055986,1.0606824633082352
-39.96511993023986,1.0606831700698212
-39.96495992991986,1.0606838771122602
-39.96479992959986,1.0606845842691208
-39.96463992927986,1.060685291290756
-39.96447992895986,1.0606859984268127
-39.96431992863985,1.0606867055732714
-39.96415992831986,1.0606874126365142
-39.96399992799986,1.0606881199077967
-39.96383992767986,1.060688826856618
-39.963679927359856,1.060689533919861
-39.963519927039854,1.0606902411599373
-39.96335992671985,1.0606909480775526
-39.96319992639985,1.060691655380041
-39.96303992607985,1.0606923625889113
-39.96287992575985,1.0606930695793406
-39.96271992543985,1.060693776809015
-39.96255992511985,1.060694484121905
-39.96239992479985,1.0606951915700207
-39.962239924479846,1.060695898529244
-39.96207992415985,1.0606966058421343
-39.96191992383985,1.0606973130197987
-39.96175992351985,1.0606980202702772
-39.96159992319984,1.0606987274895496
-39.96143992287985,1.0606994346568122
-39.96127992255985,1.060700142094526
-39.961119922239845,1.06070084948023
-39.960959921919844,1.0607015567203062
